SKU,ASIN,UPC,Category,Title,Condition, Price ,Classification,AmazonSalesRank,AmazonLowestPrice,Brand,Manufacturer,ManufacturerPartNum,UserData10,UserData11,UserData2,UserData3,UserData4,UserData5,UserData6,UserData7,UserData8,UserData9,Weight,Ship wt, Est Margin ,% Margin
mon0000174852,B00HUFBG8S,878294023971,Miscellaneous,iMicro CA-IM1202B 350W 20+4pin Mini ATX Mini Tower Case (Black),New, $ 56.98 ,AZ eCommerce One,,35.14,Generic,Generic,CA-IM1202B,2782.59,BULK, $ 29.87 ,91862,CA-IM1202B,CA-IM1202B,iMicro,Tower Case,iMicro CA-IM1202B 350W 20+4pin Mini ATX Mini Tower Case (Black),8.3,,0, $ 16.56 ,55%
mon0000175141,B00CTVOBWG,672042011537,Miscellaneous,Supermicro MCP-310-00027-01 Internal Air Shroud,New, $ 28.79 ,AZ eCommerce One,,28.79,Supermicro,Supermicro,MCP-310-00027-01,,BULK, $ 15.00 ,94271,CA-MCP310,MCP-310-00027-01,Supermicro,Accessory,Supermicro MCP-310-00027-01 2U Air Shroud for SC823 SuperChassis,0.5,,0, $ 7.47 ,50%
mon0000175281,B002C9HXJ8,672042020287,Miscellaneous,Supermicro FAN-0076L4 Chassis Fan,New, $ 29.99 ,AZ eCommerce One,,29.99,Supermicro,Supermicro,FAN-0076L4,,BULK, $ 15.00 ,94437,CA-FAN76L4,FAN-0076L4,Supermicro,92mm,Supermicro FAN-0076L4 4pin PWM Fan w/ Housing for SC733,0.5,1.2,2, $ 7.39 ,49%
mon0000174813,B0032K0H5S,722868594520,OfficeProducts,4320j 12out 8ft Cord $300k Cew,New, $ 57.58 ,AZ eCommerce One,682763,57.58,BELKIN,BELKIN,BLKBP11223008,176.08,RETAIL, $ 28.50 ,90663,BK-BP11223,BP112230-08,Belkin,Surge Protection,Belkin BP112230-08 12-Outlet Pivot-Plug Surge Protector,2.45,7.59,8, $ 14.04 ,49%
mon0000174770,B00FJ6NFK2,878294034304,Miscellaneous,iMicro MO-829SL Optical Wireless Mouse (Silver),New, $ 15.37 ,AZ eCommerce One,,15.37,iMicro,iMicro,MO-829SL,17.06,RETAIL, $ 7.21 ,86041,MO-829SL,MO-829SL,iMicro,Mouse,iMicro MO-829SL Wireless Optical Mouse (Silver),0.14,0.13,1, $ 3.30 ,46%
mon0000167481,B00IF0TNKA,886227353606,OfficeProducts,8-Port Network Switch (GX-D1081/V3) -,New, $ 64.99 ,AZ eCommerce One,,64.99,Asus,ASUS,ETM4001-GXD1081V3,,RETAIL, $ 36.56 ,70067,AS-D1081V3,GX-D1081 V3,ASUS,Unmanaged Gigabit Switch,Asus GX-D1081 V3 8-Port 10/100/1000Mbps Desktop Switch w/ Green Network,1.1,,0, $ 16.68 ,46%
mon0000173795,B0051GQYIK,672042084944,Miscellaneous,Supermicro TWR BB LGA1155 4X SATA 300W TW Desktops,New, $ 488.92 ,AZ eCommerce One,,472.43,Supermicro,Supermicro,SYS-5037C-I,5280,RETAIL, $ 282.00 ,57421,SY-5037CI,SYS-5037C-I,Supermicro,Workstation Barebone,Supermicro SuperServer SYS-5037C-I LGA1155 Mid-Tower Workstation Barebone System (Black),23.5,19,19, $ 121.13 ,43%
mon0000174662,B007B5R29E,719192189065,Miscellaneous,"LG 19"" SmartVine Monitor LCD Flat Panel",New, $ 374.49 ,AZ eCommerce One,,365,LG,LG,N195WU-PN,1513.69,RETAIL, $ 216.30 ,83129,LG-N195WU,N195WU-PN,LG Electronics,"18.5""/19"" LCD/LED Monitor","LG Electronics N195WU-PN 19 inch Widescreen 5,000,000:1 5ms VGA/USB LED LCD Monitor, w/ Speakers (Glossy Black)",9.3,14.1,15, $ 91.77 ,42%
mon0000175346,B008LR0VOY,878294031495,Miscellaneous,"iMicro Travel Adapter, PS-ADP102",New, $ 15.02 ,AZ eCommerce One,693440,15.02,iMicro,MA Labs,PS-ADP102,58.01,RETAIL, $ 7.21 ,97705,PS-ADP102,PS-ADPT102,iMicro,Accessory,iMicro PS-ADP102 Universal Travel Adapter,0.31,0.2,1, $ 3.01 ,42%
mon0000175166,B000NSDRYU,672042009107,Miscellaneous,Supermicro 4U Active Heatsink,New, $ 49.99 ,AZ eCommerce One,,49.99,Supermicro,Supermicro,672042009107,,RETAIL, $ 28.00 ,94406,CA-SNKP24A,SNK-P0024AP4,Supermicro,Server,Supermicro SNK-P0024AP4 3U+ Active Heatsink For Socket F/Socket 940,3,1.19,2, $ 11.39 ,41%
mon0000173539,B00AT4CDNY,885022002092,Miscellaneous,"QNAP INC QNAP 2-BAY ISCSI NAS, HOT-SWAPPABLE TS-219PII-US",New, $ 462.00 ,AZ eCommerce One,483204,455.01,QNAP Systems,QNAP Systems,TS-219PII-US,253.26,RETAIL, $ 278.00 ,50699,EN-TS219P2,TS-219PII-US,QNAP,NAS & Accessory,"QNAP TS-219PII-US Turbo 2.0GHz/ 512MB/ GbE/ SATA2/ eSATA/ Raid 1 2-Bay NAS Server, W/o HDD",5,,0, $ 112.70 ,41%
mon0000164940,B004EHZUYG,722868783245,Wireless,"Belkin Bluetooth Car Hands-Free Kit for Apple iPhone, iPod, BlackBerry,and Android Smartphones",New, $ 101.23 ,AZ eCommerce One,42289,96.59,BELKIN,Belkin,F4U037TT,448,RETAIL, $ 59.69 ,30332,BK-F4U037T,F4U037TT,Belkin,Speaker & Headset,Belkin F4U037TT AirCast Auto CarAudio Connect AUX w/ Bluetooth Car Hands-free Kit,1.45,0.3,1, $ 23.81 ,40%
mon0000165321,B00IF0W88Y,058231310184,OfficeProducts,SLIM 8X SATA DVD SUPER MULTI DRIVE (GTA0N) -,New, $ 42.99 ,AZ eCommerce One,,42.99,LG,LG ELECRONICS USA,AAC0003-3681369,12.5,RETAIL, $ 24.72 ,33518,GTA0N,GTA0N,LG Electronics,Internal Slim,LG Electronics GTA0N 8X SATA Slim Super-Multi DVD+/-RW Internal Drive for Notebooks w/ M-DISC,0.4,,0, $ 9.82 ,40%
mon0000165440,B00BREVD4U,085896724032,OfficeProducts,New Kensington Technology 72403 New Pro Fit Keyboard/Mouse Desktop,New, $ 90.58 ,AZ eCommerce One,,90.58,Kensington,Kensington Technology,72403,546.91,RETAIL, $ 53.56 ,40980,KS-K72403U,K72403US,Kensington,Keyboard & Mouse Combo,Kensington K72403US Pro Fit Wireless Comfort Desktop Set (Black),3.35,1,1, $ 20.88 ,39%
mon0000174631,B00C7L7TQI,606449022971,Miscellaneous,Switch 5-Port 10/100MBPS DSKT Switch 5-Port 10/100MBPS DSKT,New, $ 37.77 ,AZ eCommerce One,,37.77,Netgear,NETGEAR,FS605NA,,RETAIL, $ 21.12 ,72301,NET-FS605,FS605NA,Netgear,Unmanaged 10/100 Switch,Netgear FS605NA 5Port 10/100 Mbps Desktop Switch,1,2,2, $ 7.88 ,37%
mon0000173645,B00A7A5F9E,887372000087,Miscellaneous,"4-Bay NAS,Intel ATOM Dual Core",New, $ 859.17 ,AZ eCommerce One,,848,Asustor,asustor,4710474830060,1422.96,RETAIL, $ 529.00 ,55559,SY-AS604T,AS-604T,ASUSTOR,NAS & Accessory,ASUSTOR AS-604T Intel Atom 2.13GHz/ 1GB DDR3/ 2GbE/ 2eSATA/ USB3.0/ 4-bay NAS Server,10,6.75,7, $ 195.44 ,37%
mon0000175171,B001F070MA,672042020836,Miscellaneous,Supermicro BPN-SAS-836TQ 3U SAS/SATA BACKPLANE,New, $ 299.99 ,AZ eCommerce One,239094,299.99,Supermicro,Supermicro,BPN-SAS-836TQ,,BULK, $ 185.00 ,94346,CA-SA836TQ,BPN-SAS-836TQ,Supermicro,Accessory,Supermicro BPN-BPN-SAS-836TQ 3U SAS/SATA Direct Attached Backplane for SC836s,0.7,4.52,5, $ 65.24 ,35%
mon0000173754,B005EDI8GG,878294025036,Miscellaneous,"Super Talent 16GB Micro SDHC Memory Card w/ Adapter, Retail",New, $ 20.20 ,AZ eCommerce One,1384926,13.26,Super Talent,SUPER TALENT,878294025036,5.04,RETAIL, $ 11.33 ,14940,MSD16ST10R,MSD16ST10R,SUPER TALENT,Micro SD,"Super Talent 16GB Micro SDHC Memory Card w/ Adapter, Retail",0.04,0,0, $ 3.84 ,34%
mon0000173654,B006ZU6GS4,878294030306,Miscellaneous,Super Talent DDR2-800 4GB/256Mx8 Value Memory,New, $ 133.23 ,AZ eCommerce One,,133.23,Super Talent,SUPER TALENT,T800UB4GV,,BULK, $ 82.92 ,1951,T800UB4GV,T800UB4GV,SUPER TALENT,DDR2 800,Super Talent DDR2-800 4GB/256Mx8 Value Memory,0.5,0.5,1, $ 27.78 ,33%
mon0000172608,B00769YVIA,672042028139,OfficeProducts,SUPERMICRO COMPUTER 2U+ PASSIVE CPU HS FOR INTEL LGA1366 X8 MB SNK-P0038P,New, $ 38.54 ,AZ eCommerce One,427969,38.54,Supermicro,SUPERMICRO COMPUTER,SNK-P0038P,,RETAIL, $ 21.00 ,94425,CA-SNKP38P,SNK-P0038P,Supermicro,Server,Supermicro SNK-P0038P 2U+ DP Server Heatsink For LGA1366,3,4.19,5, $ 7.01 ,33%
mon0000173863,B009LZLJ00,672042112913,Miscellaneous,SuperWorkstation 7047A-73 Barebone System - 4U Tower - Intel C602 Chipset - Socket R LGA-2011 - 2 x Total Processor,New," $ 1,705.23 ",AZ eCommerce One,,1630,Supermicro,Supermicro,672042112913,11648,RETAIL," $ 1,056.00 ",57462,SY-747A73,SYS-7047A-73,Supermicro,Workstation Barebone,Supermicro SuperWorkstation SYS-7047A-73 Dual LGA2011 1200W 4U Rackmount/Tower Workstation Barebone System (Black),71,73.19,74, $ 350.75 ,33%
mon0000173582,B0065SN4I6,878294029850,Miscellaneous,Super Talent RM Swivel 16GB USB2.0 Flash Drive (Red),New, $ 18.99 ,AZ eCommerce One,,12.05,Super Talent,SUPER TALENT,RM16G-RR_R,,RETAIL, $ 10.30 ,12069,RM16G-RR_R,RM16G-RR_R,SUPER TALENT,16GB,Super Talent RM Swivel 16GB USB 2.0 Flash Drive (Red),0.06,0.06,1, $ 3.29 ,32%
mon0000172602,B005Y7QV52,672042037209,Beauty,SNK-P0036A4 Supermicro Processor Cooler Heatsink SNK-P0036A4,New, $ 45.91 ,AZ eCommerce One,,45.91,Supermicro,Supermicro,SNK-P0036A4,,RETAIL, $ 27.00 ,94423,CA-SNKP364,SNK-P0036A4,Supermicro,Server,Supermicro SNK-P0036A4 LGA1366 2U Active Heatsink,1.45,2.2,3, $ 8.37 ,31%
mon0000175090,B0019MGLQ0,672042005543,Miscellaneous,Supermicro CSE-PT73L 2.5IN HARD DISK KIT PBF,New, $ 29.99 ,AZ eCommerce One,,29.99,CHASSIS & COMPONENTS,CHASSIS & COMPONENTS,CSE-PT73L,,BULK, $ 15.00 ,94332,CA-PT73L,CSE-PT73L,Supermicro,Accessory,"Supermicro CSE-PT73L 2.5"" Hard Disk Kit, PB Free",0.3,6.83,7, $ 4.64 ,31%
mon0000173813,B000LQBLHY,672042011667,Miscellaneous,Supermicro H8DA8-2 Motherboard,New, $ 608.42 ,AZ eCommerce One,,599.99,SUPERMICRO BOARDS,Supermicro,MBD-H8DA8-2-O,1080,RETAIL, $ 391.00 ,56922,MB-H8DA82,H8DA8-2-O,Supermicro,Opteron 2000,Supermicro H8DA8-2-O Dual Socket F/ MCP55 Pro/ A&2GbE/ EATX Server Motherboard,6,5.8,6, $ 120.86 ,31%
mon0000175236,B009T00IYK,761345752824,Miscellaneous,Antec Truequiet 120 Led - Case Fan - 120 Mm,New, $ 19.59 ,AZ eCommerce One,,12.6,Antec,Antec,761345752824,,RETAIL, $ 10.81 ,97529,FAN-TQ120W,TRUE QUIET 120 WHITE,Antec,120mm,Antec TrueQuiet 120mm White LED Case Fan,0.56,0.53,1, $ 3.29 ,30%
mon0000169653,B00EEJVOJ4,876818003089,OfficeProducts,"35"" diagonal, 4:3 Port. Pico S",New, $ 142.48 ,AZ eCommerce One,,142.48,"Elite Screens, Inc","Elite Screens, Inc",PC35W,384,RETAIL, $ 87.55 ,82042,EL-PC35W,PC35W,Elite Screens,Projector & Screen,"Elite Screens PicoScreen Series PC35W 35"" 4:3 Projection Screen",3.46,10,10, $ 26.06 ,30%
mon0000175037,B005DM8CQ4,672042015658,Miscellaneous,Supermicro MCP-650-00004-0N Dummy Blade,New, $ 49.95 ,AZ eCommerce One,,40.46,Supermicro,Supermicro,MCP-650-00004-0N,,BULK, $ 30.00 ,94298,CA-MCP654N,MCP-650-00004-0N,Supermicro,Accessory,Supermicro MCP-650-00004-0N Dummy Blade,0.5,3,3, $ 8.81 ,29%
mon0000173545,B00HUFT5CC,881038035208,Miscellaneous,ECS H61H2-MV LGA1155/ Intel H61/ DDR3/ A&GbE/ MicroATX Motherboard,New, $ 63.48 ,AZ eCommerce One,,63.48,ECS Elitegroup,ECS,MB-H61H2MV,433.13,RETAIL, $ 40.17 ,50082,MB-H61H2MV,H61H2-MV; 89-206-ET1105,ECS,Socket 1155,ECS H61H2-MV LGA1155/ Intel H61/ DDR3/ A&GbE/ MicroATX Motherboard,2.5,,0, $ 11.79 ,29%
mon0000175057,B000X4RTGQ,672042008612,Miscellaneous,Supermicro 1U Rackmount LCD Bezel,New, $ 109.99 ,AZ eCommerce One,864100,109.99,Supermicro,Supermicro,MCP-210-00007-01,,BULK, $ 70.00 ,94265,CA-MCP210,MCP-210-0007-01,Supermicro,Accessory,"Supermicro MCP-210-00007-01 1U Front Bezel For SC813, SC813M, SC815 series, Bulk",1.5,1.55,2, $ 20.39 ,29%
mon0000168518,B00DOE1XU0,766623410632,OfficeProducts,Air Duster 8 oz 12 can case,New, $ 58.80 ,AZ eCommerce One,,58.8,Manhattan Products,Manhattan Products,410632,1094.63,RETAIL, $ 32.96 ,69819,MH-CANAIR,410632,Manhattan,Accessory,Manhattan 410632 Air Duster,10,10,10, $ 9.52 ,29%
mon0000173819,B0014Z7R9W,672042022694,Miscellaneous,X7DBU Server Board,New, $ 499.99 ,AZ eCommerce One,,499.99,Supermicro,Supermicro,MBD-X7DBU-O,796.25,RETAIL, $ 327.54 ,57997,MB-X7DBU,X7DBU-O,Supermicro,LGA 771,"Supermicro X7DBU-O Dual LGA771 Xeon/ Intel 5000P/ FSB1333/ V&2GbE/ EATX Motherboard, Retail",5.5,4.9,5, $ 92.70 ,28%
mon0000175054,B001F06UHG,672042018109,Miscellaneous,Supermicro SC825 Black Front Bezel - Black,New, $ 36.05 ,AZ eCommerce One,271964,26.06,Supermicro,Supermicro,MCP-210-82503-0B,,RETAIL, $ 22.00 ,94264,CA-MCP2853,MCP-210-82503-0B,Supermicro,Accessory,Supermicro MCP-210-82503-0B 2U Front Bezel For SC825 Chassis (Black),1,0.45,1, $ 6.09 ,28%
